# Month;P1 (units_sold);P1 (unit_price);P1 (unit_cost);P1 (revenue_subtotal);P1 (cost_subtotal);P1 (profit_subtotal);P2 (units_sold);P2 (unit_price);P2 (unit_cost);P2 (revenue_subtotal);P2 (cost_subtotal);P2 (profit_subtotal);Sales Units Sold;Sales Revenue;Sales Production Cost;Sales Profit;Payroll;Other Expenses;Overall Monthly Costs;Overall Monthly Profit
JANUARY;291;70.0;55.0;20370.0;16005.0;4365.0;9;70.0;105.0;630.0;945.0;-315.0;300;21000.0;16950.0;4050.0;35500.0;5000.0;57450.0;-36450.0
FEBRUARY;188;70.0;55.0;13160.0;10340.0;2820.0;82;70.0;105.0;5740.0;8610.0;-2870.0;270;18900.0;18950.0;-50.0;35500.0;5000.0;59450.0;-40550.0
MARCH;170;70.0;55.0;11900.0;9350.0;2550.0;127;70.0;105.0;8890.0;13335.0;-4445.0;297;20790.0;22685.0;-1895.0;35500.0;5000.0;63185.0;-42395.0
APRIL;246;70.0;55.0;17220.0;13530.0;3690.0;21;70.0;105.0;1470.0;2205.0;-735.0;267;18690.0;15735.0;2955.0;35500.0;5000.0;56235.0;-37545.0
MAY;292;70.0;55.0;20440.0;16060.0;4380.0;2;70.0;105.0;140.0;210.0;-70.0;294;20580.0;16270.0;4310.0;35500.0;5000.0;56770.0;-36190.0
JUNE;20;70.0;55.0;1400.0;1100.0;300.0;245;70.0;105.0;17150.0;25725.0;-8575.0;265;18550.0;26825.0;-8275.0;35500.0;5000.0;67325.0;-48775.0
JULY;220;70.0;55.0;15400.0;12100.0;3300.0;19;70.0;105.0;1330.0;1995.0;-665.0;239;16730.0;14095.0;2635.0;35500.0;5000.0;54595.0;-37865.0
AUGUST;46;70.0;55.0;3220.0;2530.0;690.0;169;70.0;105.0;11830.0;17745.0;-5915.0;215;15050.0;20275.0;-5225.0;35500.0;5000.0;60775.0;-45725.0
SEPTEMBER;188;70.0;55.0;13160.0;10340.0;2820.0;6;70.0;105.0;420.0;630.0;-210.0;194;13580.0;10970.0;2610.0;35500.0;5000.0;51470.0;-37890.0
OCTOBER;207;70.0;55.0;14490.0;11385.0;3105.0;6;70.0;105.0;420.0;630.0;-210.0;213;14910.0;12015.0;2895.0;35500.0;5000.0;52515.0;-37605.0
NOVEMBER;101;70.0;55.0;7070.0;5555.0;1515.0;91;70.0;105.0;6370.0;9555.0;-3185.0;192;13440.0;15110.0;-1670.0;35500.0;5000.0;55610.0;-42170.0
DECEMBER;129;70.0;55.0;9030.0;7095.0;1935.0;82;70.0;105.0;5740.0;8610.0;-2870.0;211;14770.0;15705.0;-935.0;35500.0;5000.0;56205.0;-41435.0
